S.no,Reviews
2353,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2354,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2355,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2356,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2357,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2358,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2359,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2360,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2361,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2362,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2363,I had purchased a new LED in my house and for the good quality of pictures and audio quality I have installed VK digital network as my set top box. The picture quality of this network is so good and looks great on led. Along with the picture quality the sound quality is also very good in this network. The service and support of VK Digital network is no doubt beest as they solve every issues and problems. The value of money is there in this set top box as the charges for the subscription of the channels are cheaper as comparison to other digital network like tata sky and others. So overall its a great network which should be installed in your television.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2364,"Last month there is an outage nearly for 7-8 days. While cable operator asked for full month rental without providing service for more than a week. For this issue I have contacted the VK Digital 044 42428282 and explained that there is an outage for week why we pay the full month rental but they asked me to pay the full rental and asked me if you want to complaint then you can complaint to any one. The guy who spoke to me is very rude like kind of Rowdy. This is the level of support we are getting. Guys please not to prefer VK Digital. Forgot to mention that he updated me ""Whether we are providing service or not you have to pay the full month rental"".Now its up to you.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2365,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2366,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2367,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2368,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2369,"I'm from Ramapuram, the lady who collect money from shivamurugan communication . she s shouting my mother in front of the house whather to recharge r not . it's our right to recharge r not . who gave her permission to shout .I thought to complain about her roud behaviour about that shivamurugan communication .I called the communication the lady who attend the call her name s Anitha .she s telling that if u want u can complain us anywhere without any proper response. not even listening my complainFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2370,"I bought 2 days before, every channel has struggled to play, I am already informed to cable operators they are not responding to me, it makes irritating while playing I will broke set top box, vk is fking one don’t buy this especially smart set top box very worstFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2371,Worst setup box ever. Don't use it I swear it will be waste.Please please don't buy it. I am having the problem for 1 weak but still I can't able to catch the operator.its boring without tv.so don't buy and waste your money.there is noCustomer service also the phone is ringing but no one pickup the call right nowFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2372,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2373,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2374,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2375,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2376,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2377,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2378,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2379,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2380,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2381,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2382,I had purchased a new LED in my house and for the good quality of pictures and audio quality I have installed VK digital network as my set top box. The picture quality of this network is so good and looks great on led. Along with the picture quality the sound quality is also very good in this network. The service and support of VK Digital network is no doubt beest as they solve every issues and problems. The value of money is there in this set top box as the charges for the subscription of the channels are cheaper as comparison to other digital network like tata sky and others. So overall its a great network which should be installed in your television.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2383,"Last month there is an outage nearly for 7-8 days. While cable operator asked for full month rental without providing service for more than a week. For this issue I have contacted the VK Digital 044 42428282 and explained that there is an outage for week why we pay the full month rental but they asked me to pay the full rental and asked me if you want to complaint then you can complaint to any one. The guy who spoke to me is very rude like kind of Rowdy. This is the level of support we are getting. Guys please not to prefer VK Digital. Forgot to mention that he updated me ""Whether we are providing service or not you have to pay the full month rental"".Now its up to you.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2384,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2385,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2386,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2387,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2388,"I'm from Ramapuram, the lady who collect money from shivamurugan communication . she s shouting my mother in front of the house whather to recharge r not . it's our right to recharge r not . who gave her permission to shout .I thought to complain about her roud behaviour about that shivamurugan communication .I called the communication the lady who attend the call her name s Anitha .she s telling that if u want u can complain us anywhere without any proper response. not even listening my complainFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2389,"I bought 2 days before, every channel has struggled to play, I am already informed to cable operators they are not responding to me, it makes irritating while playing I will broke set top box, vk is fking one don’t buy this especially smart set top box very worstFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2390,Worst setup box ever. Don't use it I swear it will be waste.Please please don't buy it. I am having the problem for 1 weak but still I can't able to catch the operator.its boring without tv.so don't buy and waste your money.there is noCustomer service also the phone is ringing but no one pickup the call right nowFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2391,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2392,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2393,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2394,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2395,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2396,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2397,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2398,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2399,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2400,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2401,I had purchased a new LED in my house and for the good quality of pictures and audio quality I have installed VK digital network as my set top box. The picture quality of this network is so good and looks great on led. Along with the picture quality the sound quality is also very good in this network. The service and support of VK Digital network is no doubt beest as they solve every issues and problems. The value of money is there in this set top box as the charges for the subscription of the channels are cheaper as comparison to other digital network like tata sky and others. So overall its a great network which should be installed in your television.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2402,"Last month there is an outage nearly for 7-8 days. While cable operator asked for full month rental without providing service for more than a week. For this issue I have contacted the VK Digital 044 42428282 and explained that there is an outage for week why we pay the full month rental but they asked me to pay the full rental and asked me if you want to complaint then you can complaint to any one. The guy who spoke to me is very rude like kind of Rowdy. This is the level of support we are getting. Guys please not to prefer VK Digital. Forgot to mention that he updated me ""Whether we are providing service or not you have to pay the full month rental"".Now its up to you.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2403,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2404,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2405,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2406,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2407,"I'm from Ramapuram, the lady who collect money from shivamurugan communication . she s shouting my mother in front of the house whather to recharge r not . it's our right to recharge r not . who gave her permission to shout .I thought to complain about her roud behaviour about that shivamurugan communication .I called the communication the lady who attend the call her name s Anitha .she s telling that if u want u can complain us anywhere without any proper response. not even listening my complainFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2408,"I bought 2 days before, every channel has struggled to play, I am already informed to cable operators they are not responding to me, it makes irritating while playing I will broke set top box, vk is fking one don’t buy this especially smart set top box very worstFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2409,Worst setup box ever. Don't use it I swear it will be waste.Please please don't buy it. I am having the problem for 1 weak but still I can't able to catch the operator.its boring without tv.so don't buy and waste your money.there is noCustomer service also the phone is ringing but no one pickup the call right nowFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2410,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2411,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2412,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2413,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2414,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2415,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2416,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2417,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2418,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2419,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
